antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03832665330661322,0.05075150300601202,0.031663326653306616,0.8261437908496734,16.278213292556252,1.0,0.029718191392805654,5.459963159401515,0.975974014198054,0.5514834205933683,0.8168485810608266,0.7250166140822898
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.05075150300601202,0.053356713426853705,0.03842685370741483,0.75715695952616,14.190472217973854,1.0,0.03571892030554094,3.8981693060918605,0.9792274462992873,0.5850495804729215,0.7434693258609237,0.7386723764766951
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.053356713426853705,0.05075150300601202,0.03842685370741483,0.7201877934272302,14.190472217973856,1.0,0.03571892030554094,3.3924484875791863,0.9819223299832014,0.5850495804729215,0.7052276538136651,0.7386723764766951
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06102204408817635,0.10465931863727455,0.04133266533066132,0.6773399014778325,6.4718546833401325,1.0,0.03494613977453906,2.77487264605547,0.900430923254528,0.3323932312651087,0.6396231007496803,0.5361328516484424
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04909819639278557,0.052655310621242485,0.03206412825651302,0.6530612244897959,12.402570923707255,1.0,0.029478847474508133,2.730581751738771,0.9668417413066386,0.4601006470165349,0.6337776741666046,0.6310025437387133
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05075150300601202,0.03832665330661322,0.031663326653306616,0.6238894373149063,16.27821329255625,1.0,0.029718191392805654,2.5568900267727064,0.9887486780245762,0.5514834205933683,0.6088998785519942,0.7250166140822898
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0593186372745491,0.10465931863727455,0.03627254509018036,0.6114864864864864,5.842637755036031,1.0,0.030064296930534414,2.304529058116232,0.8811107161605153,0.2840329540996469,0.5660718633691606,0.4790318981020273
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.052655310621242485,0.04909819639278557,0.03206412825651302,0.6089438629876308,12.402570923707255,1.0,0.029478847474508133,2.431624806791198,0.9704720635676134,0.4601006470165349,0.5887523448489521,0.6310025437387133
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.05886773547094189,0.10465931863727455,0.03406813627254509,0.5787234042553191,5.529592699347137,1.0,0.027907079188436993,2.1253036375781864,0.870392913620066,0.2631578947368421,0.5294789966390335,0.4521190022712689
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05460921843687375,0.07835671342685371,0.03036072144288577,0.5559633027522936,7.0952861399845135,1.0,0.026081722563363198,2.0756016164560527,0.908683873156791,0.29589843749999994,0.518211976676222,0.4717156667214153
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06377755511022044,0.07835671342685371,0.03211422845691383,0.5035349567949725,6.426187811782385,1.0,0.027116828848076917,1.8564112402019228,0.9019082484281873,0.29189435336976316,0.46132625231722396,0.4566907520547753
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.07835671342685371,0.06377755511022044,0.03211422845691383,0.409846547314578,6.426187811782385,1.0,0.027116828848076917,1.586405096216268,0.916175224960727,0.29189435336976316,0.3696439816128312,0.4566907520547753
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.10465931863727455,0.06102204408817635,0.04133266533066132,0.3949258018190522,6.4718546833401325,1.0,0.03494613977453906,1.551839359097943,0.9443162869249825,0.3323932312651087,0.3556034043489639,0.5361328516484424
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.07835671342685371,0.05460921843687375,0.03036072144288577,0.38746803069053704,7.0952861399845135,1.0,0.026081722563363198,1.5434145953702811,0.9320974497971649,0.29589843749999994,0.3520859508523116,0.4717156667214153
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.10465931863727455,0.0593186372745491,0.03627254509018036,0.34657730971756817,5.842637755036031,1.0,0.030064296930534414,1.4396215140904518,0.9257307820843732,0.2840329540996469,0.3053729815702312,0.4790318981020273
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.10465931863727455,0.05886773547094189,0.03406813627254509,0.32551460028721874,5.529592699347137,1.0,0.027907079188436993,1.3953337832513855,0.9149085603689183,0.2631578947368421,0.2833256013698635,0.4521190022712689
