support,itemsets
0.04784569138276553,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.030961923847695392,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'})
0.04148296593186373,frozenset({'60 TEATIME FAIRY CAKE CASES'})
0.030811623246492986,frozenset({'72 SWEETHEART FAIRY CAKE CASES'})
0.04909819639278557,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.039228456913827654,frozenset({'ALARM CLOCK BAKELIKE PINK'})
0.052655310621242485,frozenset({'ALARM CLOCK BAKELIKE RED '})
0.0345190380761523,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'})
0.07289579158316634,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.0467935871743487,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
0.03161322645290581,frozenset({'BATHROOM METAL SIGN'})
0.030210420841683367,frozenset({'BLUE HARMONICA IN BOX '})
0.03717434869739479,frozenset({'CHARLOTTE BAG PINK POLKADOT'})
0.044188376753507015,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
0.03311623246492986,frozenset({'CHILLI LIGHTS'})
0.04298597194388778,frozenset({'CHOCOLATE HOT WATER BOTTLE'})
0.03867735470941884,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '})
0.031112224448897795,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'})
0.03622244488977956,frozenset({'COOK WITH WINE METAL SIGN '})
0.042585170340681364,frozenset({'DOLLY GIRL LUNCH BOX'})
0.03647294589178357,frozenset({'DOORMAT KEEP CALM AND COME IN'})
0.03006012024048096,frozenset({'DOORMAT NEW ENGLAND'})
0.03486973947895792,frozenset({'DOORMAT RED RETROSPOT'})
0.030861723446893786,frozenset({'DOORMAT UNION FLAG'})
0.03797595190380761,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '})
0.04574148296593186,frozenset({'GARDENERS KNEELING PAD KEEP CALM '})
0.03802605210420842,frozenset({'GIN + TONIC DIET METAL SIGN'})
0.03356713426853707,frozenset({'GINGERBREAD MAN COOKIE CUTTER'})
0.05075150300601202,frozenset({'GREEN REGENCY TEACUP AND SAUCER'})
0.034118236472945894,frozenset({'GUMBALL COAT RACK'})
0.03391783567134268,frozenset({'HAND OVER THE CHOCOLATE   SIGN '})
0.03276553106212425,frozenset({'HAND WARMER OWL DESIGN'})
0.03647294589178357,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'})
0.030210420841683367,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'})
0.04634268537074148,frozenset({'HEART OF WICKER LARGE'})
0.060170340681362726,frozenset({'HEART OF WICKER SMALL'})
0.03892785571142285,frozenset({'HOME BUILDING BLOCK WORD'})
0.032364729458917836,frozenset({'HOMEMADE JAM SCENTED CANDLES'})
0.030511022044088176,frozenset({'HOT BATHS METAL SIGN'})
0.03291583166332665,frozenset({'HOT WATER BOTTLE I AM SO POORLY'})
0.03917835671342686,frozenset({'HOT WATER BOTTLE KEEP CALM'})
0.03221442885771543,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'})
0.03562124248496994,frozenset({'IVORY KITCHEN SCALES'})
0.058216432865731464,frozenset({'JAM MAKING SET PRINTED'})
0.056713426853707415,frozenset({'JAM MAKING SET WITH JARS'})
0.046743486973947895,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'})
0.035871743486973945,"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})"
0.04539078156312625,frozenset({'JUMBO BAG ALPHABET'})
0.04899799599198397,frozenset({'JUMBO BAG APPLES'})
0.03291583166332665,frozenset({'JUMBO BAG OWLS'})
0.06102204408817635,frozenset({'JUMBO BAG PINK POLKADOT'})
0.04333667334669339,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'})
0.10465931863727455,frozenset({'JUMBO BAG RED RETROSPOT'})
0.03316633266533066,frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'})
0.0343687374749499,frozenset({'JUMBO BAG SPACEBOY DESIGN'})
0.041182364729458916,frozenset({'JUMBO BAG STRAWBERRY'})
0.03562124248496994,frozenset({'JUMBO BAG VINTAGE DOILY '})
0.04403807615230461,frozenset({'JUMBO BAG VINTAGE LEAF'})
0.043236472945891787,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
0.05886773547094189,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
0.03532064128256513,frozenset({'JUMBO STORAGE BAG SKULLS'})
0.0593186372745491,frozenset({'JUMBO STORAGE BAG SUKI'})
0.03151302605210421,frozenset({'LOVE BUILDING BLOCK WORD'})
0.06377755511022044,frozenset({'LUNCH BAG  BLACK SKULL.'})
0.03707414829659319,frozenset({'LUNCH BAG ALPHABET DESIGN'})
0.05190380761523046,frozenset({'LUNCH BAG APPLE DESIGN'})
0.057615230460921846,frozenset({'LUNCH BAG CARS BLUE'})
0.03416833667334669,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
0.05460921843687375,frozenset({'LUNCH BAG PINK POLKADOT'})
0.07835671342685371,frozenset({'LUNCH BAG RED RETROSPOT'})
0.057965931863727456,frozenset({'LUNCH BAG SPACEBOY DESIGN '})
0.05430861723446894,frozenset({'LUNCH BAG SUKI DESIGN '})
0.030110220440881765,frozenset({'LUNCH BAG VINTAGE DOILY '})
0.03346693386773547,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
0.05095190380761523,frozenset({'LUNCH BAG WOODLAND'})
0.03542084168336673,frozenset({'LUNCH BOX I LOVE LONDON'})
0.0625751503006012,frozenset({'NATURAL SLATE HEART CHALKBOARD '})
0.03356713426853707,frozenset({'PACK OF 20 NAPKINS PANTRY DESIGN'})
0.030110220440881765,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'})
0.04353707414829659,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
0.06613226452905811,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.03321643286573146,frozenset({'PACK OF 72 SKULL CAKE CASES'})
0.03997995991983968,frozenset({'PAPER BUNTING RETROSPOT'})
0.05811623246492986,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})"
0.030561122244488977,frozenset({'PAPER CHAIN KIT RETROSPOT'})
0.041082164328657314,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'})
0.0844188376753507,frozenset({'PARTY BUNTING'})
0.030861723446893786,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '})
0.03832665330661322,frozenset({'PINK REGENCY TEACUP AND SAUCER'})
0.03371743486973948,frozenset({'PLASTERS IN TIN SPACEBOY'})
0.035270541082164326,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'})
0.042334669338677355,frozenset({'PLEASE ONE PERSON METAL SIGN'})
0.04023046092184369,frozenset({'POPCORN HOLDER'})
0.0564128256513026,frozenset({'POSTAGE'})
0.04979959919839679,frozenset({'RABBIT NIGHT LIGHT'})
0.055661322645290584,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'})
0.037474949899799596,frozenset({'RECYCLING BAG RETROSPOT '})
0.03311623246492986,frozenset({'RED  HARMONICA IN BOX '})
0.037124248496993986,frozenset({'RED HANGING HEART T-LIGHT HOLDER'})
0.051703406813627256,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
0.04253507014028056,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
0.09959919839679358,frozenset({'REGENCY CAKESTAND 3 TIER'})
0.0312124248496994,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'})
0.04819639278557114,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '})
0.043637274549098194,frozenset({'REX CASH+CARRY JUMBO SHOPPER'})
0.053356713426853705,frozenset({'ROSES REGENCY TEACUP AND SAUCER '})
0.036673346693386774,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '})
0.038627254509018036,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'})
0.030561122244488977,frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'})
0.034468937875751504,frozenset({'SET OF 3 BUTTERFLY COOKIE CUTTERS'})
0.06938877755511022,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '})
0.0343186372745491,frozenset({'SET OF 3 HEART COOKIE CUTTERS'})
0.0437374749498998,frozenset({'SET OF 3 REGENCY CAKE TINS'})
0.05375751503006012,frozenset({'SET OF 4 PANTRY JELLY MOULDS'})
0.041783567134268534,frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'})
0.03151302605210421,frozenset({'SET OF 60 PANTRY DESIGN CAKE CASES '})
0.04939879759519038,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '})
0.04403807615230461,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'})
0.03151302605210421,frozenset({'SMALL WHITE HEART OF WICKER'})
0.045090180360721446,frozenset({'SPACEBOY LUNCH BOX '})
0.05711422845691383,frozenset({'SPOTTY BUNTING'})
0.035370741482965935,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'})
0.03617234468937876,frozenset({'STRAWBERRY CHARLOTTE BAG'})
0.030511022044088176,frozenset({'TRADITIONAL KNITTING NANCY'})
0.051953907815631264,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'})
0.030410821643286574,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '})
0.046392785571142285,frozenset({'VINTAGE SNAP CARDS'})
0.11302605210420842,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
0.0343186372745491,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'})
0.04864729458917836,frozenset({'WOODEN FRAME ANTIQUE WHITE '})
0.05511022044088176,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'})
0.04173346693386774,frozenset({'WOODLAND CHARLOTTE BAG'})
0.03206412825651302,"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE RED '})"
0.031663326653306616,"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})"
0.03842685370741483,"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})"
0.04133266533066132,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})"
0.03406813627254509,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY'})"
0.03627254509018036,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI'})"
0.03211422845691383,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG  BLACK SKULL.'})"
0.03036072144288577,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG PINK POLKADOT'})"
