StockCode,Description,TotalRevenue,UnitsSold,FirstSale,LastSale,DaysWithSales,TotalOrders,AvgPrice,Recency,SalesFreq,Segment
10002,INFLATABLE POLITICAL GLOBE ,759.89,860,2010-12-01 08:45:00,2011-04-18 12:56:00,46,71,0.8835930232558139,235,46,1
10080,GROOVY CACTUS INFLATABLE,119.08999999999999,303,2011-02-27 13:47:00,2011-11-21 17:04:00,21,22,0.393036303630363,18,21,0
10120,DOGGY RUBBER,40.32,192,2010-12-03 11:19:00,2011-12-04 13:15:00,24,29,0.21,5,24,0
10123C,HEARTS WRAPPING TAPE ,3.25,5,2010-12-03 11:19:00,2011-03-31 13:14:00,3,3,0.65,253,3,1
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,2010-12-06 13:13:00,2011-11-06 13:00:00,5,5,0.42,33,5,0
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,2010-12-02 13:14:00,2011-11-06 13:00:00,4,4,0.42,33,4,0
10125,MINI FUNKY DESIGN TAPES,993.99,1295,2010-12-01 12:23:00,2011-12-09 10:13:00,63,91,0.7675598455598456,1,63,0
10133,COLOURING PENCILS BROWN TUBE,1539.6,2856,2010-12-01 12:15:00,2011-09-07 10:07:00,110,196,0.5390756302521008,94,110,0
10135,COLOURING PENCILS BROWN TUBE,2204.89,2229,2010-12-01 17:06:00,2011-12-08 09:28:00,119,175,0.989183490354419,2,119,0
11001,ASSTD DESIGN RACING CAR PEN,2389.44,1615,2010-12-01 14:32:00,2011-12-06 16:26:00,89,113,1.479529411764706,3,89,0
15030,FAN BLACK FRAME ,41.47,143,2011-03-24 13:37:00,2011-12-06 12:21:00,12,12,0.29,4,12,0
15034,PAPER POCKET TRAVELING FAN ,840.0200000000001,6591,2010-12-05 13:55:00,2011-12-08 09:28:00,105,138,0.12744955241996664,2,105,0
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,2010-12-02 15:03:00,2011-12-09 10:03:00,232,518,0.7793939393939394,1,232,2
15039,SANDALWOOD FAN,1978.6399999999999,2090,2010-12-05 12:43:00,2011-12-09 10:03:00,105,145,0.9467177033492822,1,105,0
15044A,PINK PAPER PARASOL ,1439.0200000000002,458,2010-12-21 14:26:00,2011-12-05 17:17:00,82,102,3.141965065502184,4,82,0
15044B,BLUE PAPER PARASOL ,946.83,321,2010-12-01 12:54:00,2011-09-28 15:50:00,52,60,2.9496261682242992,72,52,0
15044C,PURPLE PAPER PARASOL,1022.9900000000001,313,2010-12-06 10:08:00,2011-12-06 14:23:00,70,88,3.2683386581469653,3,70,0
15044D,RED PAPER PARASOL,1819.76,644,2010-12-06 16:57:00,2011-12-05 16:03:00,72,84,2.8257142857142856,4,72,0
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,2010-12-01 09:41:00,2011-12-09 10:20:00,198,321,5.565696202531646,1,198,2
15056N,EDWARDIAN PARASOL NATURAL,22152.690000000002,3950,2010-12-01 09:41:00,2011-12-09 10:20:00,237,456,5.608275949367089,1,237,2
15056P,EDWARDIAN PARASOL PINK,4354.92,776,2010-12-01 16:01:00,2011-12-08 13:50:00,117,144,5.61201030927835,1,117,0
15056bl,EDWARDIAN PARASOL BLACK,1086.88,87,2010-12-03 11:13:00,2011-12-09 10:26:00,46,62,12.492873563218392,1,46,0
15056n,EDWARDIAN PARASOL NATURAL,1585.2800000000002,127,2010-12-07 15:32:00,2011-11-30 14:11:00,52,84,12.482519685039371,9,52,0
